"","Gene","p.value","q.value"
"ABHD13","ABHD13",1.83879867789326e-11,3.15629793060378e-07
"FRMD6","FRMD6",5.75250412440891e-24,9.87417332954789e-20
"SLC38A6","SLC38A6",2.67710574000367e-13,4.59525200271629e-09
"NAA30","NAA30",1.619357410422e-06,0.0277962699498937
"WDR89","WDR89",1.49298825382088e-08,0.000256271433768354
"TCF12","TCF12",5.86880431627697e-09,0.000100738026088894
"BNIP2","BNIP2",3.87507833373212e-15,6.65157195985118e-11
"GTF2A2","GTF2A2",1.71023265009669e-06,0.0293561434389096
"UBE2Q2","UBE2Q2",2.95683582745547e-19,5.07540869782732e-15
"SCAPER","SCAPER",1.04963193318504e-06,0.0180169321331213
"ARRDC4","ARRDC4",1.0315338139764e-12,1.77062779169049e-08
"SH3GL3","SH3GL3",1.1121005322128e-06,0.0190892056354327
"CDH13","CDH13",2.49894229514033e-07,0.00428943444960838
